"mkt","measure","Value"
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.707
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",2.144
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.124
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.251
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.084
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.301
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",1.327
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.018
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.305
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.138
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.029
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.505
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.123
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.066
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.109
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.233
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.106
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.088
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.18
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.218
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.513
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",2.027
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.907
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.779
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",2.222
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.041
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.076
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.252
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.065
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",196.615
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",70.726
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",2.372
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",240.829
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.491
"BEARING - APPLICATIONS","LB / ACRE / APPLICATION",0.199
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.26
"BEARING - APPLICATIONS","LB / ACRE / YEAR",0.021
